driver_id,full_name,lat,lon,battery,timestamp,archived_at
DRV_001,Amadou BA,14.717815,-17.466723,54,1771937041,2026-02-24T12:44:08.089860
DRV_002,Mouhamed SOW,14.726194,-17.450681,29,1771937041,2026-02-24T12:44:08.104570
DRV_003,Ousmane DIOP,14.749464,-17.488414,12,1771937041,2026-02-24T12:44:08.115768
DRV_004,Badou NDIAYE,14.73294,-17.4682,92,1771937041,2026-02-24T12:44:08.130721
DRV_001,Amadou BA,14.717062,-17.467376,84,1771937046,2026-02-24T12:44:08.143507
DRV_002,Mouhamed SOW,14.725548,-17.452296,40,1771937046,2026-02-24T12:44:08.156957
DRV_003,Ousmane DIOP,14.74814,-17.488116,12,1771937046,2026-02-24T12:44:08.168713
DRV_004,Badou NDIAYE,14.733547,-17.468089,90,1771937046,2026-02-24T12:44:08.184879
DRV_001,Amadou BA,14.717963,-17.466442,51,1771937051,2026-02-24T12:44:11.631415
DRV_002,Mouhamed SOW,14.724986,-17.453186,77,1771937051,2026-02-24T12:44:11.676753
DRV_003,Ousmane DIOP,14.749741,-17.486177,13,1771937051,2026-02-24T12:44:11.754202
DRV_004,Badou NDIAYE,14.734162,-17.467763,89,1771937051,2026-02-24T12:44:11.818980
DRV_001,Amadou BA,14.718337,-17.466256,36,1771937056,2026-02-24T12:44:16.778499
DRV_002,Mouhamed SOW,14.72477,-17.45425,43,1771937056,2026-02-24T12:44:16.842519
DRV_003,Ousmane DIOP,14.750435,-17.485036,12,1771937056,2026-02-24T12:44:16.943058
DRV_004,Badou NDIAYE,14.73434,-17.466883,81,1771937056,2026-02-24T12:44:17.200417
DRV_001,Amadou BA,14.71688,-17.464896,69,1771937062,2026-02-24T12:44:22.485621
DRV_002,Mouhamed SOW,14.726288,-17.456006,24,1771937062,2026-02-24T12:44:22.524202
DRV_003,Ousmane DIOP,14.7497,-17.485347,9,1771937062,2026-02-24T12:44:22.579582
DRV_004,Badou NDIAYE,14.736241,-17.467235,46,1771937062,2026-02-24T12:44:22.618096
DRV_001,Amadou BA,14.716488,-17.466525,39,1771937067,2026-02-24T12:44:27.628581
DRV_002,Mouhamed SOW,14.72503,-17.457198,35,1771937067,2026-02-24T12:44:27.711057
DRV_003,Ousmane DIOP,14.750787,-17.48675,9,1771937067,2026-02-24T12:44:27.871348
DRV_004,Badou NDIAYE,14.734814,-17.468653,35,1771937067,2026-02-24T12:44:27.990250
DRV_001,Amadou BA,14.716927,-17.468452,70,1771937073,2026-02-24T12:44:33.174220
DRV_002,Mouhamed SOW,14.724681,-17.457539,60,1771937073,2026-02-24T12:44:33.247007
DRV_003,Ousmane DIOP,14.752107,-17.487279,14,1771937073,2026-02-24T12:44:33.305752
DRV_004,Badou NDIAYE,14.732832,-17.466699,70,1771937073,2026-02-24T12:44:33.350688
DRV_001,Amadou BA,14.715284,-17.469381,97,1771937078,2026-02-24T12:44:38.348395
DRV_002,Mouhamed SOW,14.723134,-17.458495,35,1771937078,2026-02-24T12:44:38.397285
DRV_003,Ousmane DIOP,14.751841,-17.488281,5,1771937078,2026-02-24T12:44:38.428984
DRV_004,Badou NDIAYE,14.73425,-17.467023,77,1771937078,2026-02-24T12:44:38.465886
DRV_001,Amadou BA,14.716692,-17.469713,73,1771937083,2026-02-24T12:44:43.459760
DRV_002,Mouhamed SOW,14.723655,-17.457179,51,1771937083,2026-02-24T12:44:43.502801
DRV_003,Ousmane DIOP,14.749997,-17.48826,13,1771937083,2026-02-24T12:44:43.558007
DRV_004,Badou NDIAYE,14.735086,-17.466601,27,1771937083,2026-02-24T12:44:43.643144
DRV_001,Amadou BA,14.715358,-17.467992,69,1771937088,2026-02-24T12:44:48.692672
DRV_002,Mouhamed SOW,14.722093,-17.455608,26,1771937088,2026-02-24T12:44:48.737064
DRV_003,Ousmane DIOP,14.750839,-17.487444,13,1771937088,2026-02-24T12:44:48.777402
DRV_004,Badou NDIAYE,14.736422,-17.465912,94,1771937088,2026-02-24T12:44:48.830616
DRV_001,Amadou BA,14.71703,-17.469589,67,1771937093,2026-02-24T12:44:53.857396
DRV_002,Mouhamed SOW,14.721887,-17.454056,87,1771937093,2026-02-24T12:44:53.919545
DRV_003,Ousmane DIOP,14.749064,-17.48739,10,1771937093,2026-02-24T12:44:53.969966
DRV_004,Badou NDIAYE,14.735508,-17.465743,90,1771937093,2026-02-24T12:44:54.004949
DRV_001,Amadou BA,14.718848,-17.467848,90,1771937098,2026-02-24T12:44:59.014050
DRV_002,Mouhamed SOW,14.722224,-17.452424,81,1771937099,2026-02-24T12:44:59.068032
DRV_003,Ousmane DIOP,14.747958,-17.485487,7,1771937099,2026-02-24T12:44:59.115803
DRV_004,Badou NDIAYE,14.735746,-17.464661,30,1771937099,2026-02-24T12:44:59.172273
DRV_001,Amadou BA,14.72042,-17.467698,47,1771937104,2026-02-24T12:45:04.219354
DRV_002,Mouhamed SOW,14.721043,-17.453476,60,1771937104,2026-02-24T12:45:04.385745
DRV_003,Ousmane DIOP,14.749367,-17.48528,10,1771937104,2026-02-24T12:45:04.516091
DRV_004,Badou NDIAYE,14.735527,-17.462685,54,1771937104,2026-02-24T12:45:04.661079
DRV_001,Amadou BA,14.720324,-17.465758,52,1771937109,2026-02-24T12:45:09.811760
DRV_002,Mouhamed SOW,14.719483,-17.453247,33,1771937109,2026-02-24T12:45:09.860644
DRV_003,Ousmane DIOP,14.74757,-17.485748,14,1771937109,2026-02-24T12:45:09.922605
DRV_004,Badou NDIAYE,14.734788,-17.463528,64,1771937109,2026-02-24T12:45:09.957567
DRV_001,Amadou BA,14.718671,-17.467626,60,1771937114,2026-02-24T12:45:14.996694
DRV_002,Mouhamed SOW,14.720623,-17.453322,28,1771937114,2026-02-24T12:45:15.048247
DRV_003,Ousmane DIOP,14.748845,-17.486917,13,1771937115,2026-02-24T12:45:15.100385
DRV_004,Badou NDIAYE,14.736442,-17.465436,68,1771937115,2026-02-24T12:45:15.132380
DRV_001,Amadou BA,14.719058,-17.468881,81,1771937120,2026-02-24T12:45:20.201965
DRV_002,Mouhamed SOW,14.721745,-17.451654,43,1771937120,2026-02-24T12:45:20.257456
DRV_003,Ousmane DIOP,14.747381,-17.487559,12,1771937120,2026-02-24T12:45:20.308097
DRV_004,Badou NDIAYE,14.735409,-17.466574,77,1771937120,2026-02-24T12:45:20.346117
DRV_001,Amadou BA,14.71992,-17.469976,62,1771937125,2026-02-24T12:45:25.444543
DRV_002,Mouhamed SOW,14.723459,-17.452603,88,1771937125,2026-02-24T12:45:25.587577
DRV_003,Ousmane DIOP,14.746389,-17.485777,8,1771937125,2026-02-24T12:45:25.726540
DRV_004,Badou NDIAYE,14.734406,-17.46497,42,1771937125,2026-02-24T12:45:25.845248
DRV_001,Amadou BA,14.720157,-17.471969,25,1771937130,2026-02-24T12:45:30.859731
DRV_002,Mouhamed SOW,14.725153,-17.452425,40,1771937130,2026-02-24T12:45:30.972402
DRV_003,Ousmane DIOP,14.748371,-17.48527,10,1771937130,2026-02-24T12:45:31.065844
DRV_004,Badou NDIAYE,14.732928,-17.463378,51,1771937131,2026-02-24T12:45:31.130719
DRV_001,Amadou BA,14.720904,-17.470387,68,1771937136,2026-02-24T12:45:36.143586
DRV_002,Mouhamed SOW,14.725928,-17.450425,42,1771937136,2026-02-24T12:45:36.257725
DRV_003,Ousmane DIOP,14.746689,-17.484256,5,1771937136,2026-02-24T12:45:36.324280
DRV_004,Badou NDIAYE,14.732839,-17.463907,53,1771937136,2026-02-24T12:45:36.379031
DRV_001,Amadou BA,14.719664,-17.471253,81,1771937141,2026-02-24T12:45:41.461523
DRV_002,Mouhamed SOW,14.727113,-17.44992,57,1771937141,2026-02-24T12:45:41.511520
DRV_003,Ousmane DIOP,14.745192,-17.485681,5,1771937141,2026-02-24T12:45:41.559104
DRV_004,Badou NDIAYE,14.73345,-17.464436,52,1771937141,2026-02-24T12:45:41.608691
DRV_001,Amadou BA,14.719053,-17.472052,45,1771937146,2026-02-24T12:45:46.606646
DRV_002,Mouhamed SOW,14.725439,-17.448958,53,1771937146,2026-02-24T12:45:46.661687
DRV_003,Ousmane DIOP,14.746874,-17.485815,8,1771937146,2026-02-24T12:45:46.713319
DRV_004,Badou NDIAYE,14.732585,-17.465353,31,1771937146,2026-02-24T12:45:46.737876
DRV_001,Amadou BA,14.717249,-17.471806,56,1771937151,2026-02-24T12:45:51.754245
DRV_002,Mouhamed SOW,14.727196,-17.447133,97,1771937151,2026-02-24T12:45:51.789623
DRV_003,Ousmane DIOP,14.746051,-17.486974,11,1771937151,2026-02-24T12:45:51.809730
DRV_004,Badou NDIAYE,14.731582,-17.466841,75,1771937151,2026-02-24T12:45:51.846195
DRV_001,Amadou BA,14.717577,-17.47284,44,1771937156,2026-02-24T12:45:56.870533
DRV_002,Mouhamed SOW,14.727687,-17.446818,31,1771937156,2026-02-24T12:45:56.906178
DRV_003,Ousmane DIOP,14.747709,-17.487066,10,1771937156,2026-02-24T12:45:56.924680
DRV_004,Badou NDIAYE,14.732141,-17.465717,31,1771937156,2026-02-24T12:45:56.944949
DRV_001,Amadou BA,14.718629,-17.473573,94,1771937161,2026-02-24T12:46:01.958285
DRV_002,Mouhamed SOW,14.726104,-17.444869,35,1771937161,2026-02-24T12:46:02.037525
DRV_003,Ousmane DIOP,14.74833,-17.485369,5,1771937161,2026-02-24T12:46:02.159157
DRV_004,Badou NDIAYE,14.733637,-17.464775,33,1771937162,2026-02-24T12:46:02.193188
DRV_001,Amadou BA,14.719097,-17.472295,62,1771937167,2026-02-24T12:46:07.198097
DRV_002,Mouhamed SOW,14.725301,-17.444899,97,1771937167,2026-02-24T12:46:07.235107
DRV_003,Ousmane DIOP,14.748543,-17.486894,5,1771937167,2026-02-24T12:46:07.250963
DRV_004,Badou NDIAYE,14.735102,-17.46369,55,1771937167,2026-02-24T12:46:07.311917
DRV_001,Amadou BA,14.719373,-17.472953,56,1771937172,2026-02-24T12:46:12.271930
DRV_002,Mouhamed SOW,14.725816,-17.445792,69,1771937172,2026-02-24T12:46:12.312313
DRV_003,Ousmane DIOP,14.746817,-17.486424,11,1771937172,2026-02-24T12:46:12.339903
DRV_004,Badou NDIAYE,14.734721,-17.462966,41,1771937172,2026-02-24T12:46:12.366196
DRV_001,Amadou BA,14.718226,-17.471155,24,1771937177,2026-02-24T12:46:17.395135
DRV_002,Mouhamed SOW,14.726386,-17.44547,70,1771937177,2026-02-24T12:46:17.422704
DRV_003,Ousmane DIOP,14.747724,-17.48822,8,1771937177,2026-02-24T12:46:17.448225
DRV_004,Badou NDIAYE,14.735843,-17.463647,62,1771937177,2026-02-24T12:46:17.469030
DRV_001,Amadou BA,14.719718,-17.46926,44,1771937182,2026-02-24T12:46:22.491457
DRV_002,Mouhamed SOW,14.727917,-17.446543,56,1771937182,2026-02-24T12:46:22.614141
DRV_003,Ousmane DIOP,14.746361,-17.487209,10,1771937182,2026-02-24T12:46:22.654046
DRV_004,Badou NDIAYE,14.736451,-17.463184,70,1771937182,2026-02-24T12:46:22.702156
DRV_001,Amadou BA,14.720649,-17.470179,66,1771937187,2026-02-24T12:46:27.727504
DRV_002,Mouhamed SOW,14.728231,-17.44756,52,1771937187,2026-02-24T12:46:27.795855
DRV_003,Ousmane DIOP,14.745763,-17.487881,11,1771937187,2026-02-24T12:46:27.852778
DRV_004,Badou NDIAYE,14.735459,-17.462618,87,1771937187,2026-02-24T12:46:27.866422
DRV_001,Amadou BA,14.720387,-17.470086,23,1771937192,2026-02-24T12:46:32.876394
DRV_002,Mouhamed SOW,14.729999,-17.448203,33,1771937192,2026-02-24T12:46:32.950872
DRV_003,Ousmane DIOP,14.744225,-17.488683,11,1771937192,2026-02-24T12:46:32.989696
DRV_004,Badou NDIAYE,14.73418,-17.464078,77,1771937192,2026-02-24T12:46:33.048540
DRV_001,Amadou BA,14.722087,-17.471495,72,1771937198,2026-02-24T12:46:38.081697
DRV_002,Mouhamed SOW,14.729387,-17.449166,86,1771937198,2026-02-24T12:46:38.111257
DRV_003,Ousmane DIOP,14.745537,-17.490296,8,1771937198,2026-02-24T12:46:38.146533
DRV_004,Badou NDIAYE,14.73323,-17.465695,67,1771937198,2026-02-24T12:46:38.159583
DRV_001,Amadou BA,14.721546,-17.469568,86,1771937203,2026-02-24T12:46:43.160981
DRV_002,Mouhamed SOW,14.728211,-17.450002,46,1771937203,2026-02-24T12:46:43.234843
DRV_003,Ousmane DIOP,14.746642,-17.489817,7,1771937203,2026-02-24T12:46:43.276529
DRV_004,Badou NDIAYE,14.73223,-17.466689,83,1771937203,2026-02-24T12:46:43.291206
DRV_001,Amadou BA,14.719961,-17.468487,79,1771937208,2026-02-24T12:46:48.426743
DRV_002,Mouhamed SOW,14.729263,-17.448698,84,1771937208,2026-02-24T12:46:48.518489
DRV_003,Ousmane DIOP,14.745112,-17.489058,9,1771937208,2026-02-24T12:46:48.595676
DRV_004,Badou NDIAYE,14.733069,-17.465532,89,1771937208,2026-02-24T12:46:48.649921
DRV_001,Amadou BA,14.721793,-17.467178,20,1771937213,2026-02-24T12:46:53.644234
DRV_002,Mouhamed SOW,14.730318,-17.449668,43,1771937213,2026-02-24T12:46:53.674353
DRV_003,Ousmane DIOP,14.747071,-17.48987,7,1771937213,2026-02-24T12:46:53.725221
DRV_004,Badou NDIAYE,14.733454,-17.463619,58,1771937213,2026-02-24T12:46:53.758824
DRV_001,Amadou BA,14.722299,-17.466581,54,1771937218,2026-02-24T12:46:58.751122
DRV_002,Mouhamed SOW,14.728366,-17.44943,50,1771937218,2026-02-24T12:46:58.789507
DRV_003,Ousmane DIOP,14.747537,-17.489691,6,1771937218,2026-02-24T12:46:58.818143
DRV_004,Badou NDIAYE,14.732892,-17.461702,30,1771937218,2026-02-24T12:46:58.848638
DRV_001,Amadou BA,14.721198,-17.467575,47,1771937223,2026-02-24T12:47:03.842353
DRV_002,Mouhamed SOW,14.729785,-17.448679,51,1771937223,2026-02-24T12:47:03.862171
DRV_003,Ousmane DIOP,14.746264,-17.491297,8,1771937223,2026-02-24T12:47:03.893936
DRV_004,Badou NDIAYE,14.734873,-17.462858,44,1771937223,2026-02-24T12:47:03.906520
DRV_001,Amadou BA,14.720888,-17.468886,99,1771937228,2026-02-24T12:47:08.909091
DRV_002,Mouhamed SOW,14.72894,-17.449166,26,1771937228,2026-02-24T12:47:08.971997
DRV_003,Ousmane DIOP,14.74687,-17.491341,13,1771937228,2026-02-24T12:47:08.996914
